codigo_linha,LetreiroCompleto,DescricaoCompleto,Sentido,TipoLinhaDescricao,LinhaCircular,latitude,longitude,acessivel,periodo_do_dia,dia_semana,hr_atualizacao,data_ingestao
177H-10,177H-10,177H-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.561654125000004,-46.684324125,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
177H-21,177H-21,177H-21 - METRÔ SANTANA,Volta,Interbairros,Nao,-23.5664515,-46.69234125,Sim,Noite,Domingo,2025-11-30T21:57:46.000Z,2025-12-03T23:38:49.658Z
177H-21,177H-21,177H-21 - PINHEIROS,Ida,Interbairros,Nao,-23.4975915,-46.65054775,Sim,Noite,Domingo,2025-11-30T21:57:34.000Z,2025-12-03T23:38:49.658Z
177Y-10,177Y-10,177Y-10 - METRÔ BARRA FUNDA,Volta,Radial,Nao,-23.5269075,-46.66671425,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
177Y-10,177Y-10,177Y-10 - PINHEIROS,Ida,Radial,Nao,-23.5649765,-46.6953845,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1782-10,1782-10,1782-10 - METRÔ SANTANA,Ida,Radial,Sim,-23.49934975,-46.62350975,Sim,Noite,Quarta,2025-12-03T23:29:31.000Z,2025-12-03T23:38:49.658Z
1782-10,1782-10,1782-10 - VL. NOVA GALVÃO,Volta,Radial,Sim,-23.4514,-46.571856499999996,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
1783-10,1783-10,1783-10 - CACHOEIRA,Volta,Radial,Nao,-23.3988855,-46.5776345,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
1783-10,1783-10,1783-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4703805,-46.6054525,Sim,Noite,Quarta,2025-12-03T23:29:24.000Z,2025-12-03T23:38:49.658Z
1785-10,1785-10,1785-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4783895,-46.623251499999995,Sim,Noite,Quarta,2025-12-03T23:29:39.000Z,2025-12-03T23:38:49.658Z
1785-10,1785-10,1785-10 - VL. AURORA,Volta,Radial,Nao,-23.488087999999998,-46.622834,Sim,Noite,Quarta,2025-12-03T23:29:37.000Z,2025-12-03T23:38:49.658Z
1786-10,1786-10,1786-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.47584875,-46.619538500000004,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
1786-10,1786-10,1786-10 - VL. ALBERTINA,Volta,Radial,Nao,-23.4479245,-46.61200049999999,Sim,Noite,Quarta,2025-12-03T23:29:51.000Z,2025-12-03T23:38:49.658Z
1787-10,1787-10,1787-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4513015,-46.6234645,Sim,Noite,Quarta,2025-12-03T23:29:34.000Z,2025-12-03T23:38:49.658Z
1787-10,1787-10,1787-10 - VL. MARIETA,Volta,Radial,Nao,-23.454924249999998,-46.623523,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
1788-10,1788-10,1788-10 - JD. FONTÁLIS,Volta,Radial,Nao,-23.43987125,-46.578169,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
1788-10,1788-10,1788-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.451010500000002,-46.588708999999994,Sim,Noite,Quarta,2025-12-03T23:29:35.000Z,2025-12-03T23:38:49.658Z
1788-31,1788-31,1788-31 - JD. FONTALIS,Volta,Semi-Expressa,Nao,-23.438534500000003,-46.5755525,Sim,Noite,Quarta,2025-12-03T23:29:20.000Z,2025-12-03T23:38:49.658Z
178A-10,178A-10,178A-10 - LAPA,Ida,Radial,Nao,-23.5266885,-46.6729455,Sim,Noite,Quarta,2025-12-03T23:29:51.000Z,2025-12-03T23:38:49.658Z
178A-10,178A-10,178A-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.5256935,-46.644509875,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
178T-10,178T-10,178T-10 - CEASA,Ida,Radial,Nao,-23.53174025,-46.734263999999996,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
178T-10,178T-10,178T-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.503125,-46.6245765,Sim,Noite,Quarta,2025-12-03T23:29:42.000Z,2025-12-03T23:38:49.658Z
1896-10,1896-10,1896-10 - JARAGUÁ,Volta,Radial,Nao,-23.505592,-46.717841,Sim,Noite,Quarta,2025-12-03T23:29:48.000Z,2025-12-03T23:38:49.658Z
1896-10,1896-10,1896-10 - PÇA. RAMOS DE AZEVEDO,Ida,Radial,Nao,-23.4444145,-46.7533035,Sim,Noite,Quarta,2025-12-03T23:29:45.000Z,2025-12-03T23:38:49.658Z
189L-10,189L-10,189L-10 - CONEXÃO VL. IÓRIO,Volta,Radial,Nao,-23.5158085,-46.697911500000004,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
189L-10,189L-10,189L-10 - LAPA,Ida,Radial,Nao,-23.488952,-46.71056900000001,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
189L-21,189L-21,189L-21 - CONEXÃO VL. IÓRIO,Volta,Interbairros,Sim,-23.486610499999998,-46.710868000000005,Sim,Noite,Domingo,2025-11-23T22:09:39.000Z,2025-12-03T23:38:49.658Z
189L-21,189L-21,189L-21 - LAPA,Ida,Interbairros,Sim,-23.486610499999998,-46.710868000000005,Sim,Noite,Domingo,2025-11-23T21:53:18.000Z,2025-12-03T23:38:49.658Z
199D-10,199D-10,199D-10 - CONEXÃO VL. IÓRIO,Volta,Radial,Nao,-23.4986135,-46.7066765,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
199D-10,199D-10,199D-10 - TERM. PINHEIROS,Ida,Radial,Nao,-23.52815725,-46.70100575,Sim,Noite,Quarta,2025-12-03T23:29:30.000Z,2025-12-03T23:38:49.658Z
2004-10,2004-10,2004-10 - CPTM GUAIANASES,Ida,Radial,Nao,-23.519621,-46.383444499999996,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
2004-10,2004-10,2004-10 - JD. NSA. SRA. DO CAMINHO,Volta,Radial,Nao,-23.5199755,-46.384038000000004,Sim,Noite,Quarta,2025-12-03T23:29:44.000Z,2025-12-03T23:38:49.658Z
2006-10,2006-10,2006-10 - CID. KEMEL I,Volta,Radial,Nao,-23.509847875,-46.36656325,Sim,Noite,Quarta,2025-12-03T23:29:43.000Z,2025-12-03T23:38:49.658Z
2006-10,2006-10,2006-10 - CPTM ITAIM PAULISTA,Ida,Radial,Nao,-23.506819874999998,-46.366454125,Sim,Noite,Quarta,2025-12-03T23:29:51.000Z,2025-12-03T23:38:49.658Z
